Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2017","t","140797.82"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2018","t","197548.69"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2019","t","135714.56"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2020","t","77419.97"
"Supply Utilization Accounts (2010-)","European Union (27)","Stock Variation","Soya bean oil","2021","t","19695.19"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2010","t","21122.22"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2011","t","24094.51"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2012","t","10904.27"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2013","t","10689.67"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2014","t","13468.44"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2015","t","10411.6"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2016","t","17910.32"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2017","t","19831.59"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2018","t","13617.1"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2019","t","15225.35"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2020","t","19922.66"
"Supply Utilization Accounts (2010-)","European Union (27)","Feed","Soya bean oil","2021","t","18313.7"
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2017","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2019","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2020","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Seed","Soya bean oil","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Loss","Soya bean oil","2017","",""
