Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2017","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2019","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2020","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Cake of  soya beans","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2010","t","2281429.27"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2011","t","2174991.84"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2012","t","2245920.85"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2013","t","2361948.67"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2014","t","2318819.25"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2015","t","2563979.17"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2016","t","2697939.51"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2017","t","2594716.5"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2018","t","2819105.51"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2019","t","2826301.69"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2020","t","2974557.19"
"Supply Utilization Accounts (2010-)","European Union (27)","Production","Soya bean oil","2021","t","2898983.62"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2010","t","1283932"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2011","t","1484840"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2012","t","925772"
"Supply Utilization Accounts (2010-)","European Union (27)","Import Quantity","Soya bean oil","2013","t","814439"
